pipeline,source,value
lstm_dynamic_threshold,fit_time,454.928459
lstm_dynamic_threshold,predict_time,13.656531
lstm_dynamic_threshold,memory,805486.592
lstm_dynamic_threshold,fit_time,672.452759
lstm_dynamic_threshold,predict_time,4.637934
lstm_dynamic_threshold,memory,1489326.08
lstm_dynamic_threshold,fit_time,550.307204
lstm_dynamic_threshold,predict_time,19.007214
lstm_dynamic_threshold,memory,1348300.8
lstm_dynamic_threshold,fit_time,851.357693
lstm_dynamic_threshold,predict_time,12.393057
lstm_dynamic_threshold,memory,1819787.264
lstm_dynamic_threshold,fit_time,833.4993
lstm_dynamic_threshold,predict_time,42.438016999999995
lstm_dynamic_threshold,memory,1409642.496
lstm_dynamic_threshold,fit_time,489.380849
lstm_dynamic_threshold,predict_time,7.016305
lstm_dynamic_threshold,memory,1602121.728
lstm_dynamic_threshold,fit_time,764.957598
lstm_dynamic_threshold,predict_time,5.49445
lstm_dynamic_threshold,memory,2935701.504
lstm_dynamic_threshold,fit_time,459.219081
lstm_dynamic_threshold,predict_time,11.944572
lstm_dynamic_threshold,memory,1325506.56
lstm_dynamic_threshold,fit_time,720.3508899999999
lstm_dynamic_threshold,predict_time,10.605586
lstm_dynamic_threshold,memory,3050364.928
lstm_dynamic_threshold,fit_time,512.5277550000001
lstm_dynamic_threshold,predict_time,6.862697
lstm_dynamic_threshold,memory,1335611.392
lstm_dynamic_threshold,fit_time,543.8569170000001
lstm_dynamic_threshold,predict_time,21.325141
lstm_dynamic_threshold,memory,755261.44
lstm_dynamic_threshold,fit_time,668.693081
lstm_dynamic_threshold,predict_time,5.461277
lstm_dynamic_threshold,memory,1308008.448
lstm_dynamic_threshold,fit_time,620.841655
lstm_dynamic_threshold,predict_time,14.308807999999999
lstm_dynamic_threshold,memory,676700.16
lstm_dynamic_threshold,fit_time,550.579286
lstm_dynamic_threshold,predict_time,10.198796000000002
lstm_dynamic_threshold,memory,291917.824
lstm_dynamic_threshold,fit_time,340.222464
lstm_dynamic_threshold,predict_time,14.981664000000002
lstm_dynamic_threshold,memory,340156.416
lstm_dynamic_threshold,fit_time,661.803567
lstm_dynamic_threshold,predict_time,40.082215000000005
lstm_dynamic_threshold,memory,1402564.608
lstm_dynamic_threshold,fit_time,291.518906
lstm_dynamic_threshold,predict_time,10.361246999999999
lstm_dynamic_threshold,memory,715231.232
lstm_dynamic_threshold,fit_time,290.587441
lstm_dynamic_threshold,predict_time,5.583745
lstm_dynamic_threshold,memory,437813.248
lstm_dynamic_threshold,fit_time,649.4737730000002
lstm_dynamic_threshold,predict_time,33.880845
lstm_dynamic_threshold,memory,1276940.288
lstm_dynamic_threshold,fit_time,900.560813
lstm_dynamic_threshold,predict_time,9.308097
lstm_dynamic_threshold,memory,905105.408
lstm_dynamic_threshold,fit_time,939.790635
lstm_dynamic_threshold,predict_time,42.314738999999996
lstm_dynamic_threshold,memory,1089753.088
lstm_dynamic_threshold,fit_time,572.467856
lstm_dynamic_threshold,predict_time,143.993843
lstm_dynamic_threshold,memory,7949443.072
lstm_dynamic_threshold,fit_time,347.413848
lstm_dynamic_threshold,predict_time,4.036435
lstm_dynamic_threshold,memory,597032.96
lstm_dynamic_threshold,fit_time,359.827986
lstm_dynamic_threshold,predict_time,20.949164000000003
lstm_dynamic_threshold,memory,1311264.768
lstm_dynamic_threshold,fit_time,891.8939170000001
lstm_dynamic_threshold,predict_time,16.573149
lstm_dynamic_threshold,memory,1968697.344
lstm_dynamic_threshold,fit_time,702.347672
lstm_dynamic_threshold,predict_time,35.500446999999994
lstm_dynamic_threshold,memory,7819706.368
lstm_dynamic_threshold,fit_time,993.881586
lstm_dynamic_threshold,predict_time,9.315564
lstm_dynamic_threshold,memory,2730143.744
lstm_dynamic_threshold,fit_time,570.4694939999999
lstm_dynamic_threshold,predict_time,11.18197
lstm_dynamic_threshold,memory,1555279.872
lstm_dynamic_threshold,fit_time,418.74138400000004
lstm_dynamic_threshold,predict_time,8.047017
lstm_dynamic_threshold,memory,832069.632
lstm_dynamic_threshold,fit_time,461.23600799999997
lstm_dynamic_threshold,predict_time,47.571029
lstm_dynamic_threshold,memory,873586.688
lstm_dynamic_threshold,fit_time,880.704125
lstm_dynamic_threshold,predict_time,48.711531
lstm_dynamic_threshold,memory,1658281.984
lstm_dynamic_threshold,fit_time,633.262902
lstm_dynamic_threshold,predict_time,5.817679
lstm_dynamic_threshold,memory,1813934.08
lstm_dynamic_threshold,fit_time,663.428633
lstm_dynamic_threshold,predict_time,7.127302
lstm_dynamic_threshold,memory,1685213.184
lstm_dynamic_threshold,fit_time,569.3562519999999
lstm_dynamic_threshold,predict_time,13.055143
lstm_dynamic_threshold,memory,1429512.192
lstm_dynamic_threshold,fit_time,790.4166570000001
lstm_dynamic_threshold,predict_time,6.758034000000001
lstm_dynamic_threshold,memory,2393120.768
lstm_dynamic_threshold,fit_time,610.713693
lstm_dynamic_threshold,predict_time,15.774325000000001
lstm_dynamic_threshold,memory,1881415.68
lstm_dynamic_threshold,fit_time,417.529303
lstm_dynamic_threshold,predict_time,9.130298000000002
lstm_dynamic_threshold,memory,1256251.392
lstm_dynamic_threshold,fit_time,812.865519
lstm_dynamic_threshold,predict_time,10.017786000000001
lstm_dynamic_threshold,memory,2288107.52
lstm_dynamic_threshold,fit_time,632.119472
lstm_dynamic_threshold,predict_time,12.309321
lstm_dynamic_threshold,memory,1200619.52
lstm_dynamic_threshold,fit_time,527.767094
lstm_dynamic_threshold,predict_time,15.502991
lstm_dynamic_threshold,memory,780656.64
lstm_dynamic_threshold,fit_time,538.612116
lstm_dynamic_threshold,predict_time,41.790542
lstm_dynamic_threshold,memory,7513387.008
lstm_dynamic_threshold,fit_time,433.887192
lstm_dynamic_threshold,predict_time,10.990719
lstm_dynamic_threshold,memory,579276.8
lstm_dynamic_threshold,fit_time,571.991163
lstm_dynamic_threshold,predict_time,40.711321
lstm_dynamic_threshold,memory,7506300.928
lstm_dynamic_threshold,fit_time,683.509772
lstm_dynamic_threshold,predict_time,12.510029000000001
lstm_dynamic_threshold,memory,2320191.488
lstm_dynamic_threshold,fit_time,533.430609
lstm_dynamic_threshold,predict_time,11.470086
lstm_dynamic_threshold,memory,935645.184
lstm_dynamic_threshold,fit_time,518.527077
