,pipeline,signal,end-to-end,stand-alone
0,arima,A-2,1471.977709,1248.5400200000001
1,arima,A-3,2033.895538,465.2874599999999
2,arima,A-4,1471.199293,6654.668751
3,arima,A-5,2177.466379,358.043946
4,arima,A-7,1249.481096,299.140544
5,arima,A-8,6736.643376000001,280.114214
6,arima,A-9,10178.559869,2242.693098
7,arima,A3Benchmark-TS1,521.19745,591.8865360000001
8,arima,A3Benchmark-TS10,307.523518,344.938164
9,arima,A3Benchmark-TS100,269.829169,395.52232499999997
10,arima,A3Benchmark-TS11,389.235412,671.1516570000001
11,arima,A3Benchmark-TS12,317.247776,274.527493
12,arima,A3Benchmark-TS13,377.139284,315.20837199999994
13,arima,A3Benchmark-TS14,284.087966,354.164706
14,arima,A3Benchmark-TS15,412.669645,426.053542
15,arima,A3Benchmark-TS16,267.921422,195.20448399999995
16,arima,A3Benchmark-TS17,296.21515899999997,343.197842
17,arima,A3Benchmark-TS18,238.908257,1840.6704820000002
18,arima,A3Benchmark-TS19,1098.406043,550.211075
19,arima,A3Benchmark-TS2,2029.9642440000002,514.773207
20,arima,A3Benchmark-TS20,322.46846,2810.1932789999996
21,arima,A3Benchmark-TS21,236.8467,1588.4546599999999
22,arima,A3Benchmark-TS22,256.351516,293.632969
23,arima,A3Benchmark-TS23,300.5191890000001,307.3722910000001
24,arima,A3Benchmark-TS24,317.516454,7125.444433999999
25,arima,A3Benchmark-TS25,185.650678,2821.0170350000003
26,arima,A3Benchmark-TS26,384.03067599999997,1470.041011
27,arima,A3Benchmark-TS27,333.816809,4096.570052
28,arima,A3Benchmark-TS28,305.51726,461.45504999999997
29,arima,A3Benchmark-TS29,379.62481,181.69302299999998
30,arima,A3Benchmark-TS3,282.2770220000001,366.715705
31,arima,A3Benchmark-TS30,417.943765,346.72448299999996
32,arima,A3Benchmark-TS31,450.883293,349.7481669999999
33,arima,A3Benchmark-TS32,468.18347,446.21994099999995
34,arima,A3Benchmark-TS33,283.170225,297.511241
35,arima,A3Benchmark-TS34,248.9178,400.462001
36,arima,A3Benchmark-TS35,195.478722,1924.4815879999999
37,arima,A3Benchmark-TS36,424.11738899999995,406.01111099999997
38,arima,A3Benchmark-TS37,285.68701699999997,194.384963
39,arima,A3Benchmark-TS38,382.167402,262.94951499999996
40,arima,A3Benchmark-TS39,240.633488,2448.3097250000005
41,arima,A3Benchmark-TS4,250.664745,304.98321599999997
42,arima,A3Benchmark-TS40,332.04688799999997,1537.4523609999999
43,arima,A3Benchmark-TS41,559.856497,409.305654
44,arima,A3Benchmark-TS42,282.794144,442.08682500000003
45,arima,A3Benchmark-TS43,244.36198,288.939581
46,arima,A3Benchmark-TS44,294.469374,278.379075
47,arima,A3Benchmark-TS45,288.087843,218.41342
