dataset,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id,source,pipeline,signal
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,941.633607,False,7352502d-5,untuned,dense_autoencoder,art_daily_jumpsdown
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1315.6414619999996,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_24ae8d
realTraffic,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1522.696362,False,7352502d-5,untuned,dense_autoencoder,occupancy_t4013
artificialWithAnomaly,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,560.487938,False,7352502d-5,untuned,dense_autoencoder,art_load_balancer_spikes
realTraffic,0,,0.0,0.0,,1,1,0,OK,1281.561459,False,7352502d-5,untuned,dense_autoencoder,speed_6005
realAWSCloudwatch,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,1033.349566,False,7352502d-5,untuned,dense_autoencoder,ec2_disk_write_bytes_c0d644
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,2133.364789,False,8d982e49-2,tuned,dense_autoencoder,rds_cpu_utilization_cc0c53
realAdExchange,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1052.190792,False,7352502d-5,untuned,dense_autoencoder,exchange-3_cpc_results
realAWSCloudwatch,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,1266.709082,False,8d982e49-2,tuned,dense_autoencoder,grok_asg_anomaly
realTraffic,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,1673.941319,False,7352502d-5,untuned,dense_autoencoder,speed_t4013
realAWSCloudwatch,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1555.985967,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_fe7f93
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,1160.651692,False,7352502d-5,untuned,dense_autoencoder,ec2_disk_write_bytes_1ef3de
realTraffic,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,893.327034,False,7352502d-5,untuned,dense_autoencoder,speed_7578
realTweets,0,0.3333333333333333,0.25,0.5,,1,3,1,OK,3703.0567189999997,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_PFE
realAdExchange,0,,0.0,0.0,,1,1,0,OK,2117.134707,False,7352502d-5,untuned,dense_autoencoder,exchange-2_cpc_results
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,1064.247928,False,7352502d-5,untuned,dense_autoencoder,ec2_network_in_257a54
realTweets,0,0.6666666666666666,0.5,1.0,,0,2,2,OK,1576.005096,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_AMZN
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,1042.652036,False,7352502d-5,untuned,dense_autoencoder,art_daily_flatmiddle
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,2987.4916949999997,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_CRM
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,2766.985632,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_GOOG
realTraffic,0,,0.0,0.0,,1,1,0,OK,2690.414875,False,934e090f-3,untuned,dense_autoencoder,occupancy_6005
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,845.932676,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_5f5533
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,1671.4565380000001,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_CVS
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,1020.9775460000001,False,7352502d-5,untuned,dense_autoencoder,art_daily_jumpsup
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,1192.602635,False,7352502d-5,untuned,dense_autoencoder,elb_request_count_8c0756
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,2202.349742000001,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_53ea38
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,1097.023815,False,7352502d-5,untuned,dense_autoencoder,art_increase_spike_density
